,Município,AVG_IDADE,ID
329,170290 AXIXA DO TOCANTINS,31.4,170290
330,170300 BABACULANDIA,34.9,170300
331,170305 BANDEIRANTES DO TOCANTINS,32.2,170305
332,170307 BARRA DO OURO,30.4,170307
333,170310 BARROLANDIA,35.0,170310
334,170320 BERNARDO SAYAO,33.7,170320
335,170330 BOM JESUS DO TOCANTINS,28.5,170330
336,170360 BRASILANDIA DO TOCANTINS,34.0,170360
337,170370 BREJINHO DE NAZARE,33.9,170370
338,170380 BURITI DO TOCANTINS,31.2,170380
339,170382 CACHOEIRINHA,31.5,170382
340,170384 CAMPOS LINDOS,26.9,170384
341,170386 CARIRI DO TOCANTINS,34.1,170386
342,170388 CARMOLANDIA,32.4,170388
343,170389 CARRASCO BONITO,29.5,170389
344,170390 CASEARA,33.2,170390
345,170410 CENTENARIO,33.3,170410
346,170460 CHAPADA DE AREIA,36.8,170460
347,170510 CHAPADA DA NATIVIDADE,34.2,170510
348,170550 COLINAS DO TOCANTINS,32.3,170550
349,170555 COMBINADO,33.4,170555
350,170560 CONCEICAO DO TOCANTINS,33.3,170560
351,170600 COUTO MAGALHAES,32.1,170600
352,170610 CRISTALANDIA,37.2,170610
353,170625 CRIXAS DO TOCANTINS,36.1,170625
354,170650 DARCINOPOLIS,31.7,170650
355,170700 DIANOPOLIS,30.8,170700
356,170710 DIVINOPOLIS DO TOCANTINS,35.2,170710
357,170720 DOIS IRMAOS DO TOCANTINS,36.9,170720
358,170730 DUERE,35.7,170730
359,170740 ESPERANTINA,29.0,170740
360,170755 FATIMA,35.7,170755
361,170765 FIGUEIROPOLIS,38.0,170765
362,170770 FILADELFIA,32.5,170770
363,170820 FORMOSO DO ARAGUAIA,34.7,170820
364,170825 FORTALEZA DO TABOCAO,32.1,170825
365,170830 GOIANORTE,34.4,170830
366,170900 GOIATINS,30.5,170900
367,170930 GUARAI,33.6,170930
368,170950 GURUPI,33.3,170950
369,170980 IPUEIRAS,33.2,170980
370,171050 ITACAJA,31.7,171050
371,171070 ITAGUATINS,32.8,171070
372,171090 ITAPIRATINS,34.5,171090
373,171110 ITAPORA DO TOCANTINS,33.8,171110
374,171150 JAU DO TOCANTINS,36.1,171150
375,171180 JUARINA,33.6,171180
376,171190 LAGOA DA CONFUSAO,29.3,171190
377,171195 LAGOA DO TOCANTINS,28.9,171195
378,171200 LAJEADO,32.4,171200
379,171215 LAVANDEIRA,33.3,171215
380,171240 LIZARDA,32.7,171240
381,171245 LUZINOPOLIS,32.3,171245
382,171250 MARIANOPOLIS DO TOCANTINS,32.2,171250
383,171270 MATEIROS,27.2,171270
384,171280 MAURILANDIA DO TOCANTINS,32.1,171280
385,171320 MIRACEMA DO TOCANTINS,33.1,171320
386,171330 MIRANORTE,35.2,171330
387,171360 MONTE DO CARMO,34.0,171360
388,171370 MONTE SANTO DO TOCANTINS,35.9,171370
389,171380 PALMEIRAS DO TOCANTINS,31.4,171380
390,171395 MURICILANDIA,31.7,171395
391,171420 NATIVIDADE,34.0,171420
392,171430 NAZARE,35.0,171430
393,171488 NOVA OLINDA,31.6,171488
394,171500 NOVA ROSALANDIA,36.4,171500
395,171510 NOVO ACORDO,33.7,171510
396,171515 NOVO ALEGRE,35.3,171515
397,171525 NOVO JARDIM,30.5,171525
398,171550 OLIVEIRA DE FATIMA,33.5,171550
399,171570 PALMEIRANTE,31.1,171570
400,171575 PALMEIROPOLIS,35.0,171575
401,171610 PARAISO DO TOCANTINS,32.9,171610
402,171620 PARANA,32.4,171620
403,171630 PAU D'ARCO,33.4,171630
404,171650 PEDRO AFONSO,31.3,171650
405,171660 PEIXE,34.1,171660
406,171665 PEQUIZEIRO,34.5,171665
407,171670 COLMEIA,35.6,171670
408,171700 PINDORAMA DO TOCANTINS,33.3,171700
409,171720 PIRAQUE,36.8,171720
410,171750 PIUM,34.2,171750
411,171780 PONTE ALTA DO BOM JESUS,34.8,171780
412,171790 PONTE ALTA DO TOCANTINS,32.0,171790
413,171800 PORTO ALEGRE DO TOCANTINS,32.8,171800
414,171820 PORTO NACIONAL,32.5,171820
415,171830 PRAIA NORTE,29.2,171830
416,171840 PRESIDENTE KENNEDY,34.6,171840
417,171845 PUGMIL,30.8,171845
418,171850 RECURSOLANDIA,29.7,171850
419,171855 RIACHINHO,33.6,171855
420,171865 RIO DA CONCEICAO,30.0,171865
421,171870 RIO DOS BOIS,33.8,171870
422,171875 RIO SONO,34.4,171875
423,171880 SAMPAIO,28.9,171880
424,171884 SANDOLANDIA,34.4,171884
425,171886 SANTA FE DO ARAGUAIA,30.4,171886
426,171888 SANTA MARIA DO TOCANTINS,33.2,171888
427,171889 SANTA RITA DO TOCANTINS,32.7,171889
428,171890 SANTA ROSA DO TOCANTINS,33.0,171890
429,171900 SANTA TEREZA DO TOCANTINS,30.9,171900
430,172000 SANTA TEREZINHA DO TOCANTINS,33.0,172000
431,172010 SAO BENTO DO TOCANTINS,29.1,172010
432,172015 SAO FELIX DO TOCANTINS,29.9,172015
433,172020 SAO MIGUEL DO TOCANTINS,30.5,172020
434,172025 SAO SALVADOR DO TOCANTINS,31.5,172025
435,172030 SAO SEBASTIAO DO TOCANTINS,30.6,172030
436,172049 SAO VALERIO,36.0,172049
437,172065 SILVANOPOLIS,35.5,172065
438,172080 SITIO NOVO DO TOCANTINS,32.9,172080
439,172085 SUCUPIRA,33.3,172085
440,172090 TAGUATINGA,34.0,172090
441,172093 TAIPAS DO TOCANTINS,32.0,172093
442,172097 TALISMA,34.7,172097
443,172100 PALMAS,29.9,172100
444,172110 TOCANTINIA,27.6,172110
445,172120 TOCANTINOPOLIS,32.3,172120
446,172125 TUPIRAMA,31.5,172125
447,172130 TUPIRATINS,34.3,172130
448,172208 WANDERLANDIA,33.2,172208
449,172210 XAMBIOA,33.0,172210
450,210005 ACAILANDIA,30.3,210005
